date,uf,city,title,coment,answer,time_answer,coment_client_text,time_client,resolved,business,assessment
2021-06-20 12:36:00,SP,Barueri,Cadastro ( Coca-Cola retornáveis).,"Boa tarde. Gostaria de abrir reclamação a respeito da Coca-Cola, e gostaria de um parecer.Eu tenho uma mini distribuidora de bebidas, efetuei o cadastro da Coca-Cola na intenção de trabalhar com retornáveis.Meu primeiro pedido tudo ok, fui fazer um novo pedido, retiraram os retornáveis do meu cadastro..Abri reclamação no sac da mesma e não me deram nenhum parece até hoje..Gostaria de saber qual o motivo da retirada dos retornáveis do meu cadastro..Gostaria de saber tbm se tem como mandar um vendedor em minha loja, pois nunca apareceu ninguém aqui...Abri reclamação no sac a respeito disso também.","Olá!Adriana,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atenta aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-21 11:38:00,Muito bom.. Só tenho agradecer.,2021-06-28 15:29:00,Resolvido,Sim,9
2021-06-19 21:23:00,SP,Itaquaquecetuba,Compra e não entrega,"Os pedidos realizados na sexta para ser entregue no sábado não está acontecendo!Realizei uma compra na data de ontem 18/06/2021 para ser entregue 19/06 e não entregou, porém a nota fiscal foi emitida e não entregue!Preciso de uma posição sobre o caso, pois deixo de comprar mercadoria aguardando e não chega, pois meu estoque fica sem!Estou aguardando uma geladeira a 2 meses e o mesmo não foi entregue, favor verificar o mesmo por favor, pois estou gelando os produtos da coca na geladeira do concorrente!","Olá!Wellington,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atento aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-21 11:34:00,"Olá!Wellington,Inicialmente, gostaríamos de nos desculpar pelo ocorrido e transtornos ocasionados.Ao identificar sua postagem no site do Reclame Aqui, nos empenhamos em atendê-lo prontamente!Conforme retorno da nossa Equipe Comercial, soubemos que o responsável esteve em contato com você, todas as duvidas foram esclarecidas e alinhamos melhorias no atendimento.Fique à vontade em nos contatar sempre que desejar através da nossa Central de Atendimento (0800 727 1100) ou via WhatsApp (11 98964 9773).A sua satisfação é o nosso objetivo! Adoraríamos receber sua avaliação!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!",2021-06-23 16:29:00,Resolvido,Sim,9
2021-06-17 21:56:00,SP,São Paulo,Não autorizam meu cadastro.,"Realizei o cadastro do meu estabelecimento pela internet já faz um mês e não tive nenhum retorno , gostaria de conhecer os produtos e comprar os tá revender.","Olá!Saulo,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atento aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-18 15:43:00,"Olá!Saulo,Inicialmente, gostariamos de nos desculpar pelo ocorrido e transtornos ocasionados.Ao identificar sua postagem no site Reclame Aqui, nos empenhamos em atendê-lo prontamente e estamos felizes por resolver sua manifestação!A nossa Central de Cadastro foi acionada e já concluiu a sua matrícula! Informamos que o seu atendimento ocorrerá todas às Sextas-Feiras, através do nosso time Comercial. É muito importante para nós tê-lo como parceiro!Fique à vontade em nos contatar sempre que desejar através da nossa Central de Atendimento (0800 727 1100) ou via WhatsApp (11 98964 9773).A sua satisfação é o nosso objetivo! Adoraríamos receber sua avaliação!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!",2021-07-08 17:02:00,Resolvido,Sim,10
2021-06-15 17:42:00,SP,São Paulo,Falta de contato,"Tenho uma distribuidora de bebidas ,fiz vários cadastros para comprar diretamente de vocês, mas nunca tive um posicionamento, poderiam me ajudar !!!","Olá!Tiara,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atenta aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-16 11:40:00,"Olá!Tiara,Inicialmente, gostariamos de nos desculpar pelo ocorrido e transtornos ocasionados.Ao identificar sua postagem no site Reclame Aqui, nos empenhamos em atendê-la prontamente e estamos felizes por resolver sua manifestação!A nossa Central de Cadastro foi acionada e já concluiu a sua matrícula! Informamos que o seu atendimento ocorrerá todas às Sextas-Feiras, através do nosso time Comercial.Fique à vontade em nos contatar sempre que desejar através da nossa Central de Atendimento (0800 727 1100) ou via WhatsApp (11 98964 9773).A sua satisfação é o nosso objetivo! Adoraríamos receber sua avaliação!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!",2021-06-17 17:05:00,Resolvido,Sim,8
2021-06-15 12:53:00,SP,São Paulo,Retirada de um frizer,Quero reclamar sobre a retirada de um freezer que eu tenho da Coca a mais ou menos uns três anos e mais ou menos um ano e pouco eu venho pedindo para retirada dele e nenhum dos meus vendedores consegue me ajudar já se trocaram mais de cinco vendedores desde a época que eu fiz o primeiro pedido da coca-cola para retirada da freezer e até hoje ninguém me deu retorno sempre falam que encaminharam os papel que demora um pouco a documentação mas já fazem mais de um ano e até hoje eu não consigo ter uma resposta concreta da coca-cola para retirada do freezer e eu gostaria de saber se eu posso descartar ela ou se vai ter uma data para retirada.,"Olá!Francisco,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atento aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-15 14:53:00,Muito eficiente pois fiz a reclamação dia 15 pela manhã de tarde já tive um retorno da coca cola que forao muito atencioso com meu caso é hoje dia 17 por volta das 14:00 horas eles retirao a geladeira só tenho a agradecer a atecao de toda a equipe des da atentede que me ligou para saber mais sobre o caso até rapaz que fez a retirada,2021-06-17 14:32:00,Resolvido,Sim,10
2021-06-15 10:37:00,SC,Camboriú,Agradecimentos,Quero agradecer a Coca Cola Femsa pelo atendimento dado pela companhia e pelo Gerente de Area Dirceu que nos visitou para conversar depois de seu horario de trabalho e no dia de seu aniversário e resolveu o problema que estava acontecendo.Obrigado.,"William, bom dia!Agradecemos muito pelo feedback positivo. Direcionamos os agradecimentos ao time responsável.Agora, para validar seu elogio, avalie nosso atendimentio aqui no site. Ficariamos felizes em receber sua nota! :)Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-16 11:26:00,Resolvido de imediato muito top,2021-06-16 12:15:00,Resolvido,Sim,10
2021-06-14 16:16:00,SP,São Paulo,Insatisfeita,Sou comerciante e estou com uma geladeira de coca cola em meu comércio. Pedi para o vendedor solicitar a retirada dela pois não estou precisando mais dessa geladeira...ele abriu duas solicitações tirou foto enviou para as pessoas habilitar e já estou aguardando a mais de 3 meses...código da geladeira GESP333883...liguei para o serviço de consumidor da coca cola e foi aberto outra solicitação protocolo 800956 a mais de 1 mês.. e até o momento não mandaram retirar...estou muito chateada porque sempre tem alguém fazendo vistorias se vc cólica outro produto na geladeira que não seja da coca...e agora que eu preciso retirá lá a dificuldade está sendo imensa ...me admiro por ser a empresa que vendi muito em todo Brasil..No aguarde para melhores resultados,"Olá!Katia,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atenta aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-15 11:26:00,O coordenador entrou em contato a duas semanas atrás.. disse que ia retirar e até o momento não véi ninguém.. Tô indignada com isso ..nunca pensei que a coca cola poderia ser tão desorganizada com os terceirizados.. ainda no aguarde,2021-07-05 16:47:00,Resolvido,Sim,8
2021-06-14 16:14:00,RJ,Piraí,Vendedor Falso,"No dia 10/06/2021 uma mulher veio até o meu estabelecimento se dizendo ser revendedora da coca cola, me mostrou até um crachá com sua identificação e nome da coca. Ela me vendeu uns produtos e eu aceitei e paguei porém esses produtos nunca foram entregues. Gostaria de saber se tem como alguém responsavel pela coca me ajudar.","Olá!Juliana,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atenta aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-14 17:59:00,ótimo,2021-06-18 13:45:00,Resolvido,Sim,10
2021-06-14 12:48:00,PR,Curitiba,Demora cadastro,Realizei o pré cadastro no site a mais de 2 semanas e até agora não obtive resposta. No site esta escrito que até 24hr eles davam retorno. Porem até agora nada...,"Olá!Janayna,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atento aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-14 14:51:00,"Olá!Janayna,Inicialmente, gostariamos de nos desculpar pelo ocorrido e transtornos ocasionados.Ao identificar sua postagem no site Reclame Aqui, nos empenhamos em atendê-la prontamente e estamos felizes por resolver sua manifestação!A nossa Central de Cadastro foi acionada e já concluiu as duas matriculas solicitadas. Encaminhamos via e-mail o código de cliente e as particularidades de atendimento de cada cadastro.Fique à vontade em nos contatar sempre que desejar através da nossa Central de Atendimento (0800 727 1100) ou via WhatsApp (11 98964 9773).A sua satisfação é o nosso objetivo!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!",2021-07-08 18:10:00,Resolvido,Sim,5
2021-06-14 12:21:00,SP,São Sebastião,5 MESES DE GELADEIRA QUEBRADA!,"Estamos há 5 meses com a promessa da troca da nossa geladeira e nada. Enquanto isso continuamos comprando os produtos normalmente. Total descaso no atendimento ao cliente. Estamos cansados de gerar tantos protocolos de reclamação via Whatsapp. Protocolo 305038214 gerado em fevereiro de 2021. Protocolo 666440 em 30 de Março de 2021 (esse foi o pior atendimento). Protocolo 305092577 em 07/04/2021. Ocorrência 701964 em 19/04/2021. PRIMEIRO PROTOCOLO DE RECLAMAÇÃO 735720 em 05/05/2021. SEGUNDO PROTOCOLO DE RECLAMAÇÃO 795293 em 24/05/2021 (NESTE NOS INFORMARAM QUE A RESPONSÁVEL ISABELLA MOURA ENTRARIA EM CONTATO CONOSCO, MAS NÃO OBTIVEMOS NENHUM CONTATO). TERCEIRO PROTOCOLO DE RECLAMAÇÃO 873240 em 14/06/2021. Enfim achamos isso um descaso conosco e com a marca Coca Cola. A geladeira quebrada, desligada e vazia se encontra em um local visível aos nossos clientes ao lado das geladeiras das marcas concorrentes. É a única que se encontra nesta situação. É um péssimo exemplo de visibilidade aos produtos da marca Coca Cola. Não servem nem ao menos para retirar a geladeira que está quebrada.","Olá!Fabio,Desde já gostaríamos de nos desculpar pelo ocorrido e transtornos causados.A sua notificação foi recebida e, em até 24 horas úteis, entraremos em contato para resolução. Por gentileza, fique atento aos telefones e e-mail disponibilizados no site, pois será através deles que faremos a tratativa.Obrigado e até breve!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!Fale conosco 0800 727 1100 | WhatsApp (11) 98964 9773",2021-06-14 14:37:00,"Olá!Fabio,Inicialmente, gostaríamos de nos desculpar pelo ocorrido e transtornos ocasionados.Ao identificar sua postagem no site do Reclame Aqui, nos empenhamos em atendê-lo prontamente!Conforme retorno da nossa Equipe Comercial, soubemos que a troca do equipamento foi realizada com sucesso.Fique à vontade em nos contatar sempre que desejar através da nossa Central de Atendimento (0800 727 1100) ou via WhatsApp (11 98964 9773).A sua satisfação é o nosso objetivo! Adoraríamos receber sua avaliação!Atenciosamente,Equipe de Relacionamento Coca-Cola FEMSA!",2021-06-18 14:43:00,Resolvido,Sim,10
