date,uf,city,title,coment,answer,time_answer,coment_client_text,time_client,resolved,business,assessment
2021-07-16 11:41:00,PB,João Pessoa,Conta bloqueada,Minha conta foi bloqueada e o motivo foi outra conta que criaram no mesmo endereço que o meu tentei resolver ligando e tão querendo que eu faça um novo cadastro,"Olá Maria,Informamos que seu cadastro foi desbloqueado com sucesso e já está disponível para efetuar seus pedidos. Ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-20 09:36:00,Muito bom,2021-07-20 15:27:00,Resolvido,Sim,9
2021-07-16 09:02:00,PE,Cabo de Santo Agostinho,Preços muito alto,"Tenho um deposito de bebidas compro a ambev, mas os preços aumentou absurdamente onde os depositos aqui próximo ao meu comércio vende mas barato que a própria fábrica ambev, temos como exemplo o guaranar Antarctica casadinha de 1 litro comprei a 4.40 e agora esta 90 reais um absurdo","Olá Marcio,Realizei as análises referente ao produto citado, e verifiquei que o Guaraná Antárctica Pet 1L Multipack c/ 2 é referente a um produto descontinuado, ao qual está sendo corrigido no Parceiro Bees. Porém está disponível para compras o item Guaraná Antárctica Pet 1L c/12 no valor correspondente a sua segmentação. Fico feliz em ter te auxiliado e agradecemos a parceria.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-19 14:11:00,Péssima empresa,2021-07-19 18:17:00,Não resolvido,Não,0
2021-07-14 16:57:00,RJ,Casimiro de Abreu,Não consigo comodato de engradado de 300 ml,"A muito tempo venho pedindo que a Marbela que é a distribuidora da Ambev aqui na região dos lagos para me comodatar 10 engradados de 300 ml, já que obtive informação de amigos comerciantes que conseguiram e quando eu vinha questionar com meu antigo vendedor ele falava que já tinha acabado, e ficava mandando eu comprar por fora. Meu questionamento é porque a empresa fornece para grandes depósitos pra depois eles anunciarem a um preço absurdo a colméia nas redes sociais e nós que precisamos de mais para podermos aumentar nossa compra vcs não fornecem nem para comprar piorou para comodatar. Fico impressionada em ver anúncios com 300 caixas, onde compraram aquelas caixas zero, ou eles ganharam? Porque eu não consigo ganhar e nem comprar pela Ambev aí fico limitada no meu pedido. De uma coisa tenho certeza, que se fornece engradado para clientes selecionados que vendedores querem dar, nem gerente, supervisor e nem o alto escalão da empresa consegue controlar isto. Há quase 2 anos nesta luta e só o que tenho e o que comprei.","Olá Renata ,Primeiramente sinto muito pelo ocorrido, encaminhei seu caso ao time da Marbela onde realizaram a entrega dos comodatos de vasilhames no dia 26/07 com sucesso. Ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-29 13:20:00,Fui atendida prontamente e já recebi meus engradados.,2021-07-30 10:13:00,Resolvido,Sim,10
2021-07-12 19:43:00,DF,Brasília,Pagamento não reconhecido,"Boa noite!Por conta da pandemia tive certas dificuldades financeiras, assim como vários empresários e agora na medida do possível, estou honrando os meus compromissos com os fornecedores. Entrei em contato com a Ambev e fiz um acordo para pagamento à vista da dívida. O pagamento foi realizado e agora a empresa está enrolando para dar baixa. Já envie o comprovante de pagamento para a empresa e entrei em contato várias vezes para resolver o problema e sempre ficam jogando de um setor para outro. Preciso fazer pedidos e estou impossibilitado por conta desse problema. O pagamento foi realizado dia 06/07 e até hoje não deram baixa.","Olá Tiago,Informamos que encaminhamos o seu caso ao time de financeiro e tivemos a devolutiva que realizaram o envio do boleto faltante para a quitação da divida. Ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-14 09:11:00,Rápido e eficiente!,2021-07-14 09:21:00,Resolvido,Sim,10
2021-07-12 09:50:00,RJ,Rio de Janeiro,Liberação de cadastro,"Meu cadastro foi bloqueado, hoje enviei toda documentação através do whatsapp, mas o atendente informou que o cadastro só será liberado daqui há 7 dias úteis, estou sem nenhuma cerveja no meu estabelecimento, será que vocês não podem liberar até amanhã? Por favor, me ajudem, senão vou ficar sem trabalhar e terei um prejuízo enorme.Protocolo gerado: 9408000","Olá Verônica,Informamos que encaminhamos o seu caso ao time responsável e tivemos a devolutiva que realizaram o desbloqueio de seu cadastro com sucesso. Ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-12 14:00:00,"Me surpreendeu, achei q não teria o meu problema resolvido, mas foi mega rápido, parabéns aos envolvidos, me salvaram, se não fossem pela eficiência de vocês esses dias bloqueada ia ser um prejuízo sem tamanho, salvaram a minha vida, mt obrigada, q Deus os abençoe",2021-07-12 15:26:00,Resolvido,Sim,10
2021-07-11 18:21:00,AL,Santana do Ipanema,Não consigo meu código do cliente,"Não consigo acessar o APP para fazer compras pois quando realizei meu cadastro não recebi meu código do cliente, gostaria de saber como faço para ter acesso ao mesmo.","Olá Paulo,Conforme conversamos, encaminhamos o seu caso ao time de franquias e tivemos a devolutiva que realizaram contato para a tratativa de seu caso. Ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-12 15:30:00,Atendimento rápido e eficiente!,2021-07-12 15:39:00,Resolvido,Sim,10
2021-07-11 14:06:00,RJ,São Gonçalo,Pedidos Cancelados SEM MOTIVOS,"Fiz dois pedidos na AMBEV pelo aplicativo Parceiros BEER, um no dia 03 de julho e outro dia 8 para serem entregues dia 12 de julho.Até ontem a tarde os pedidos estavam todos APROVADOS e do nada ontem final da tarde estavam cancelados / REPROVADOS, liguei pra central e ninguém sabe o que aconteceu e ninguém fez absolutamente nada para pelo menos tentar ajudar.Protocolo da ligação: 9405403Nome da Atendente: KatianeMinha inauguração está Marcada para o dia 17 de julho e agora com os pedidos cancelados e graças a AMBEV nem sei se vou conseguir inaugurar na data mencionada acima. AMBEV, entenda, eu vou pagar os pedidos não será de graça, não faz nenhum sentido cancelar meus pedidos.O Pior problema disso tudo é que como só VOCÊS detém a distribuição de praticamente TODAS as cervejas e outras bebidas, o cliente fica a mercê desse monopólio.N dos pedidos: 2005673168 / 2005640391","Olá Francisco,Informamos que encaminhamos seu caso ao time de logística, onde identificaram que seu pedido foi cancelado por motivo Sefaz, ou seja, seu CNPJ está com alguma restrição, o que impede o sistema de computar seus pedidos.Sendo assim, solicitamos que o representante de vendas entrasse em contato com você, para que assim que solucionar junto a sua contabilidade, você possa realizar seus pedidos para inauguração. Agradecemos a parceria e ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-12 15:40:00,"Primeiro que o CNPJ é NOVO, não tem nem 4 meses.Segundo, que fiz pedidos em outras empresas e TODAS foram aprovadas, inclusive na Coca-Cola.",2021-07-12 15:48:00,Não resolvido,Não,0
2021-07-10 16:47:00,PR,Curitiba,Desrespeito,Mais uma vez a Ambev me deixou na mão!! Esperando um pedido hoje que dizia que estava no caminhao e exatamente as 16:00 veio um e mail cancelando o pedido. Fiquei na mao sem poder atender meus clientes por conta dos caprichos dá Ambev,"Olá Eliane,Informamos que encaminhamos o seu caso ao time de logística e tivemos a devolutiva que infelizmente seu pedido não pode ser entregue devido a um problema logístico. Sentimos muito pelo ocorrido e ficamos felizes em auxiliar no esclarecimento de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-12 13:16:00,Não esclareceu direito o que houve com meu pedido. Não resolveram meu problema é não prometeram de melhorar o atendimento,2021-07-12 13:21:00,Não resolvido,Sim,3
2021-07-10 14:20:00,GO,Montes Claros de Goiás,Não me dão retorno no meu cadastro,"Abrimos o nosso cadastro no parceiro bees da Ambev, ja tem mais de mês e não temos retorno, só queriamos revender os produtos no meu estabelecimento. Eu fiz todas as etapas, envio os documentos e até agora nada. Já liguei na central e a unica coisa que os atendentes fala que ainda ta em analise e nao sabem porque ainda tá em analise. Foi abertos ja 3 protocolos pra saber o porque da demora. E até agora nada.","Olá Silvana,Informamos que encaminhamos o seu caso ao time da revenda Regra - Maxi e tivemos a devolutiva que realizaram um contato onde houve o alinhamento de que seu cadastro será realizado presencialmente amanhã, na data de 14/07. Ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-13 11:28:00,Muito obrigada. Realmente tive o retorno e já me atenderam. Esse site do Reclame aqui ajuda a gente demais. Valeu pessoal abraço.,2021-07-13 11:46:00,Resolvido,Sim,10
2021-07-09 11:28:00,AL,Maceió,Não consigo fazer pedido via Boleto,"Toda vez que vou solicitar o pagamento via boleto não consigo, informa que não tenho limite. Entro em contato com ambev e pedem para aguardar não tem pendência alguma, toda vez é a mesma coisa. Foi solicitado aumento de limite e não foi aprovado. Eu não tenho limite para comprar uma caixa de cerveja da mais em conta. Como isso é possível?Desejo uma resolução para o meu caso. Já entrei em contato via chat e nada. Vendedor solicitou aumento de limite e nada.Segue em anexo. Cnpj e os print","Olá Flavio,Informamos que encaminhamos o seu caso ao time de financeiro e tivemos a devolutiva que seu limite de crédito foi liberado no valor de R$1.500,00. Ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-12 15:14:00,BOM,2021-07-27 19:55:00,Resolvido,Sim,10
2021-07-08 12:58:00,PA,Belém,Pontos não devolvido,Me cadastrei na AmBev ganhei 3000 pts pra se utilizando na compra de produtos no aplicativo fiz uma compra na AmBev junto do pedido comprei uma caixa da brahma chop lata 350ml cx com 12 mais não tinha no estoque e foi cancelado e foi usando os pontos de 2810 liguei pra fazer um na reclamação simplesmente fui informado que eu não tinha direito a devolução dos pontos isso e uma falta de respeito com o consumidor se foi ofertado os pontos vcs poderiam devolver os pontos porque o produto foi cancelado e os pontos não foi utilizando fico no aguardo assim que devolver vou volta a compra vou passa pra todo mundo a experiência que eu tiver com AmBev,"Olá Mario,Informamos que encaminhamos o seu caso ao time de Parceiro Bees e tivemos a devolutiva que realizaram o estorno de pontos solicitado no protocolo 9386146. Ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-12 10:55:00,Muito,2021-07-12 11:04:00,Resolvido,Sim,10
2021-07-08 12:20:00,RJ,Rio de Janeiro,Cervejeira ambv,Bom dia estou com ambevA 2 anos sempre solicitandoCervejaria vendo basta sempre comprando por semana 4 a 5 milDe mercadoria .sei que vcs não tem obrigação de me fornece a cervejeira mais sempre vendo amigos comerciantes que começaram depois de mim conseguindo a cervejeira falam que por causa da pandemia não podia está difícil pouco tem amigo e colegas conseguiram só eu q não tá difícil chega desanima trabalha com a ambev Número de protocolo do chamado: 9193373Tipo do chamado: solicitação de refrigeradorStatus: finalizadoCriado em: 18/06/2021Não foi possível atender sua solicitação A geladeira solicitada está indisponível no momento.Número de protocolo do chamado: 8784301Tipo do chamado: Solicitação de RefrigeradorStatus: FinalizadoCriado em: 11/05/2021Número de protocolo do chamado: 9003415Tipo do chamado: Manutenção RefrigeradorStatus: FinalizadoCriado em: 31/05/2021,"Olá, Jorge.Informamos que sua solicitação foi analisada junto ao time de marketing, porém devido à pandemia estamos sem estoque de refrigeradores no momento e sem prazo para reabastecimento. Solicitamos que refaça seu pedido daqui a 90 dias para que uma nova análise seja realizada.Agradecemos a sua compreensão.Abraços,Time AmBev.",2021-07-23 09:49:00,Péssimo,2021-07-24 08:07:00,Não resolvido,Não,0
2021-07-07 13:02:00,RJ,Nova Iguaçu,Sua conta está bloqueada para efetuar pedidos,"Olá, realizei meu cadastro ambev e em seguida no parceiro bees, porém minha conta fica com a mensagem sua conta está bloqueada para efetuar pedidos e não consigo realizar meus pedidos! Espero poder contar com o suporte para que tudo ocorra bem e eu possa fazer meus pedidos à qualquer momento!","Olá Allan,Informamos que encaminhamos o seu caso ao time de cadastro e tivemos a devolutiva que realizaram a reativação de sua conta. Ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-12 10:10:00,Agradável,2021-07-12 11:33:00,Resolvido,Sim,9
2021-07-07 10:37:00,SP,São Paulo,Falhas nas entregas,"Prezados...Bom dia!Constantemente estamos tento problemas com as entregas devido ao péssimo relacionamento com a área de logística.Atualmente as entregas estão sendo devolvidas/estornadas por péssima conduta do motorista, apelidado por CHAVEIRINHO ou por estarmos em horário de almoço, horário este de conhecimento tanto do motorista quanto da área de logística.Atualmente estamos vendendo produtos do concorrente devido a este péssimo relacionamento com a Logística.","Olá Silvio,Seu caso foi enviado ao time de logística onde retornaram com a informação que foi passado a observação do horário para o supervisor da equipe e adicionado em sistema. No entanto, o horário de entrega da companhia é a comercial, mas tentaremos atendê-lo da melhor forma possível. Agradecemos a parceria e ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-21 10:09:00,Todos as reclamações desta empresa são tratados como:Vou passar a área responsável ou do setor responsável ou do departamento responsável e assim com todas essas respostas nunca resolvem o problema de entrega e por consequência do PDV.,2021-07-27 11:44:00,Resolvido,Não,0
2021-07-06 18:46:00,CE,Fortaleza,Meu pedido não chegou novamente,"Fiz o pedido e pela segunda vez o pedido não chegou, tenho um ponto comercial e essa empresa não cumpre com a data de entrega e nem dão satisfação.Estou muito insatisfeita com tamanha enrresposabilidade.","Olá Ana,Conforme informamos, seu cadastro se encontra ativo e disponível para que realize seus pedidos. Ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-08 09:30:00,Fiquei satisfeita . Obrigada,2021-07-12 15:16:00,Resolvido,Sim,8
2021-07-06 12:52:00,SP,São José do Rio Preto,codigo do cliente,"faz mais de 2 meses que estou tentando fazer cadastro com voces, e voces nao mandam o codigo do cliente, toda semana voces dão uma desculpa diferente e nao resolve o problema.cnpj 41677496000110","Olá Poliany,Informamos que encaminhamos o seu caso ao time da revenda Conebel e tivemos a devolutiva que realizaram a efetivação de seu cadastro. Ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-08 09:24:00,resolveram o caso no mesmo dia,2021-07-13 10:46:00,Resolvido,Sim,10
2021-07-06 11:10:00,BA,Itamaraju,Demora pra aprovar cadastro,"Fiz o meu cadastro no Parceiro Bees já faz algumas semanas. Gostaria de saber quanto tempo demora pra eu ter acesso ao app, aos preços, já que nem no app nem no 0800 obtive maiores informações .","Olá Bruno,Informamos que encaminhamos o seu caso ao time da revenda BahiaBeer e tivemos a devolutiva que entraram em contato para realização de seu cadastro. Ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-12 14:10:00,excelente ja conseguir resolver meu problema,2021-07-27 16:17:00,Resolvido,Sim,9
2021-07-05 22:02:00,SP,São Paulo,Cadastro pelo APP bees e não recebi o código de cliente,"Efetuei o cadastro pelo APP Bees conforme solicitado já se passou mais de 1 mês e não recebi o código de cliente para poder fazer compras.Ja liguei por diversas vezes para o 0800 porém só me informam que está em processo de cadastro, e sempre me falam que vão repassar para área de suporte do app e a ligação cai... Ligo novamente a mesma coisa! Já liguei mais de 10 vezes! E não consegui resolver... Espero alguma solução!","Olá André,Informamos que encaminhamos o seu caso ao time responsável e tivemos a devolutiva que seu cadastro já consta ativo com a franquia de sua região, porém no momento não é possível que realize cadastro via Parceiro Bees. Mas nossos representantes estão a disposição para que realize seus pedidos e tire suas dúvidas. Ficamos felizes em auxiliar na resolução de seu caso.Conte também com nosso site/app Parceiro Bees ou entre em contato com nossa Central de Atendimento no número 0800-887-1111 de segunda a sábado das 08h00 às 20h00.Ficamos no aguardo de sua avaliação, ela é muito importante para nós!Boas vendas!Abraços,Time AmBev.",2021-07-08 13:07:00,"NÃO FOI RESOLVIDO A QUESTÃO DE ACESSO AO APP PARCEIRO BEES, QUE EU GOSTARIA PELA PRATICIDADE E DISPONIBILIDADE PARA FAZER PEDIDOS, POREM ESTOU SENDO ATENDIDO PELO REPRESENTANTE DA EMPRESA QUE ME AUXILIA MUITO BEM.",2021-07-08 13:15:00,Não resolvido,Sim,8
