country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,population,continent,consumo
Chile,130,124,172,7.6,18.006.407,South America,middle
China,79,192,8,5.0,1.372.470.000,Asia,middle
Colombia,159,76,3,4.2,48.336.300,South America,high
Comoros,1,3,1,0.1,784.745,Africa,low
Congo,76,1,9,1.7,77.267.000,Africa,middle
Cook Islands,0,254,74,5.9,14.974,Oceania,low
Costa Rica,149,87,11,4.4,4.773.130,North America,middle
Croatia,230,87,254,10.2,4.225.316,Europe,high
Cuba,93,137,5,4.2,11.238.317,North America,middle
Cyprus,192,154,113,8.2,858.000,Europe,high
Czech Republic,361,170,134,11.8,10.537.818,Europe,high
North Korea,0,0,0,0.0,25.155.000,Asia,low
DR Congo,32,3,1,2.3,4.620.000,Africa,low
Denmark,224,81,278,10.4,5.678.348,Europe,high
Djibouti,15,44,3,1.1,888.000,Africa,low
Dominica,52,286,26,6.6,71.293,North America,low
Dominican Republic,193,147,9,6.2,10.528.000,North America,high
Ecuador,162,74,3,4.2,16.027.500,South America,high
Egypt,6,4,1,0.2,89.619.300,Africa,low
El Salvador,52,69,2,2.2,6.401.240,North America,low
Equatorial Guinea,92,0,233,5.8,1.222.442,Africa,middle
Eritrea,18,0,0,0.5,4.475.000,Africa,low
Estonia,224,194,59,9.5,1.313.271,Europe,high
Ethiopia,20,3,0,0.7,90.076.012,Africa,low
Fiji,77,35,1,2.0,859.178,Oceania,middle
Finland,263,133,97,10.0,5.489.007,Europe,high
France,127,151,370,11.8,67.087.000,Europe,middle
Gabon,347,98,59,8.9,1.725.000,Africa,high
Gambia,8,0,1,2.4,1.882.450,Africa,low
Georgia,52,100,149,5.4,3.729.500,Europe,low
Germany,346,117,175,11.3,81.197.500,Europe,high
Ghana,31,3,10,1.8,27.043.093,Africa,low
Greece,133,112,218,8.3,10.846.979,Europe,middle
Grenada,199,438,28,11.9,107.317.000,North America,high
Guatemala,53,69,2,2.2,16.176.133,North America,low
Guinea,9,0,2,0.2,10.628.972,Africa,low
Guinea-Bissau,28,31,21,2.5,1.844.000,Africa,low
Guyana,93,302,1,7.1,746.900,South America,middle
Haiti,1,326,1,5.9,10.911.819,North America,low
Honduras,69,98,2,3.0,8.725.111,North America,low
Hungary,234,215,185,11.3,9.849.000,Europe,high
Iceland,233,61,78,6.6,341.256,Europe,high
India,9,114,0,2.2,1.278.160.000,Asia,low
Indonesia,5,1,0,0.1,255.780.000,Asia,low
Iran,0,0,0,0.0,78.690.300,Asia,low
Iraq,9,3,0,0.2,36.004.552,Asia,low
Ireland,313,118,165,11.4,4.635.400,Europe,high
Israel,63,69,9,2.5,8.412.000,Asia,low
Italy,85,42,237,6.5,60.725.000,Europe,middle
Jamaica,82,97,9,3.4,2.717.991,North America,middle
Japan,77,202,16,7.0,126.832.000,Asia,middle
Jordan,6,21,1,0.5,7.595.000,Asia,low
Kazakhstan,124,246,12,6.8,17.563.300,Asia,middle
Kenya,58,22,2,1.8,46.050.000,Africa,low
Kiribati,21,34,1,1.0,106.461,Oceania,low
Kuwait,0,0,0,0.0,3.268.431,Asia,low
Kyrgyzstan,31,97,6,2.4,6.083.000,Asia,low
Laos,62,0,123,6.2,6.802.000,Asia,low
Latvia,281,216,62,10.5,1.978.300,Europe,high
Lebanon,20,55,31,1.9,4.168.000,Asia,low
Lesotho,82,29,0,2.8,2.204.000,Africa,middle
Liberia,19,152,2,3.1,4.503.000,Africa,low
Libya,0,0,0,0.0,6.278.000,Africa,low
Lithuania,343,244,56,12.9,2.900.787,Europe,high
Luxembourg,236,133,271,11.4,562.958,Europe,high
Madagascar,26,15,4,0.8,22.434.363,Africa,low
Malawi,8,11,1,1.5,16.310.431,Africa,low
Malaysia,13,4,0,0.3,30.727.000,Asia,low
Maldives,0,0,0,0.0,341.256,Asia,low
Mali,5,1,1,0.6,17.600.000,Africa,low
Malta,149,100,120,6.6,445.426,Europe,middle
Marshall Islands,0,0,0,0.0,56.086,Oceania,low
Mauritania,0,0,0,0.0,3.631.775,Africa,low
Mauritius,98,31,18,2.6,1.261.208,Africa,middle
Mexico,238,68,5,5.5,121.005.815,North America,high
Micronesia,62,50,18,2.3,101.000,Oceania,low
Monaco,0,0,0,0.0,37.800,Europe,low
Mongolia,77,189,8,4.9,3.037.675,Asia,middle
Montenegro,31,114,128,4.9,621.207,Europe,low
Morocco,12,6,10,0.5,33.337.529,Africa,low
Mozambique,47,18,5,1.3,25.727.911,Africa,low
Myanmar,5,1,0,0.1,53.897.000,Asia,low
Namibia,376,3,1,6.8,2.280.700,Africa,high
Nauru,49,0,8,1.0,10.084,Oceania,low
Nepal,5,6,0,0.2,28.037.904,Asia,low
Netherlands,251,88,190,9.4,16.922.900,Europe,high
New Zealand,203,79,175,9.3,4.621.680,Oceania,high
Nicaragua,78,118,1,3.5,6.198.154,North America,middle
Niger,3,2,1,0.1,19.899.000,Africa,low
Nigeria,42,5,2,9.1,182.202.000,Africa,low
Niue,188,200,7,7.0,1.190,Oceania,high
Norway,169,71,129,6.7,5.189.435,Europe,high
Oman,22,16,1,0.7,4.257.568,Asia,low
Pakistan,0,0,0,0.0,209.156.000,Asia,low
Palau,306,63,23,6.9,20.901,Oceania,high
Panama,285,104,18,7.2,3.764.166,North America,high
Papua New Guinea,44,39,1,1.5,7.398.500,Oceania,low
Paraguay,213,117,74,7.3,7.003.406,South America,high
Peru,163,160,21,6.1,31.151.643,South America,high
Philippines,71,186,1,4.6,102.157.500,Asia,low
Poland,343,215,56,10.9,38.484.000,Europe,high
Portugal,194,67,339,11.0,10.374.822,Europe,high
Qatar,1,42,7,0.9,2.120.129,Asia,low
South Korea,140,16,9,9.8,51.482.816,Asia,middle
Moldova,109,226,18,6.3,3.555.200,Europe,middle
Romania,297,122,167,10.4,19.942.642,Europe,high
Russian Federation,247,326,73,11.5,146.606.730,Asia,high
Rwanda,43,2,0,6.8,11.092.000,Africa,low
St. Kitts & Nevis,194,205,32,7.7,54.821,North America,high
St. Lucia,171,315,71,10.1,178.015,North America,high
St. Vincent & the Grenadines,120,221,11,6.3,109.643,North America,middle
Samoa,105,18,24,2.6,187.820,Oceania,middle
San Marino,0,0,0,0.0,32.831,Europe,low
Sao Tome & Principe,56,38,140,4.2,187.356,Africa,low
Saudi Arabia,0,5,0,0.1,31.521.418,Asia,low
Senegal,9,1,7,0.3,13.508.715,Africa,low
Serbia,283,131,127,9.6,7.114.393,Europe,high
Seychelles,157,25,51,4.1,94.677,Africa,high
Sierra Leone,25,3,2,6.7,6.453.000,Africa,low
Singapore,60,12,11,1.5,5.535.000,Asia,low
Slovakia,196,293,116,11.4,5.421.349,Europe,high
Slovenia,270,51,276,10.6,2.068.211,Europe,high
Solomon Islands,56,11,1,1.2,581.344,Oceania,low
Somalia,0,0,0,0.0,10.787.000,Africa,low
South Africa,225,76,81,8.2,54.956.900,Africa,high
Spain,284,157,112,10.0,46.439.864,Europe,high
Sri Lanka,16,104,0,2.2,20.675.000,Asia,low
Sudan,8,13,0,1.7,38.435.252,Africa,low
Suriname,128,178,7,5.6,534.189,South America,middle
Swaziland,90,2,2,4.7,1.119.375,Africa,middle
Sweden,152,60,186,7.2,9.816.666,Europe,high
Switzerland,185,100,280,10.2,8.279.700,Europe,high
Syria,5,35,16,1.0,23.412.429,Asia,low
Tajikistan,2,15,0,0.3,8.468.555,Asia,low
Thailand,99,258,1,6.4,65.104.000,Asia,middle
Macedonia,106,27,86,3.9,2.069.172,Europe,middle
Timor-Leste,1,1,4,0.1,1.212.107,Asia,low
Togo,36,2,19,1.3,7.305.000,Africa,low
Tonga,36,21,5,1.1,103.252,Oceania,low
Trinidad & Tobago,197,156,7,6.4,1.340.557,North America,high
Tunisia,51,3,20,1.3,10.982.754,Africa,low
Turkey,51,22,7,1.4,77.695.000,Asia,low
Turkmenistan,19,71,32,2.2,5.663.000,Asia,low
Tuvalu,6,41,9,1.0,10.640,Oceania,low
Uganda,45,9,0,8.3,34.856.813,Africa,low
Ukraine,206,237,45,8.9,42.813.557,Europe,high
United Arab Emirates,16,135,5,2.8,9.157.000,Asia,low
United Kingdom,219,126,195,10.4,64.800.000,Europe,high
Tanzania,36,6,1,5.7,53.470.000,Africa,low
USA,249,158,84,8.7,321.968.000,North America,high
Uruguay,115,35,220,6.6,3.415.866,South America,middle
Uzbekistan,25,101,8,2.4,31.022.500,Asia,low
Vanuatu,21,18,11,0.9,264.652,Oceania,low
Venezuela,333,100,3,7.7,30.620.404,South America,high
Vietnam,111,2,1,2.0,93.448.000,Asia,middle
Yemen,6,0,0,0.1,27.058.000,Asia,low
Zambia,32,19,4,2.5,15.473.905,Africa,low
Zimbabwe,64,18,4,4.7,13.061.239,Africa,low
