DATA,FORNECEDOR,DESTINO,ESTADO/MUNICIPIO,TIPO,QUANTIDADE,VALOR/R$,DESTINATARIO,UF,DATA DE ENTREGA,ESPERA/DIA
2020-01-07 00:00:00,MAGNAMED,Alagoas,ESTADO,TRANSPORTE,10,482900.0,Secretaria Estadual de Saúde (Hospital da Mulher Dra. Nise da Silveira),AL,2020-03-07 00:00:00,60
2020-01-07 00:00:00,VYAIRE,Alagoas,ESTADO,UTI,30,1800000.0,Secretaria Estadual de Saúde (Hospital da Mulher Dra. Nise da Silveira),AL,2020-03-07 00:00:00,60
2020-04-07 00:00:00,VYAIRE,Alagoas,ESTADO,UTI,10,600000.0,Secretaria Estadual de Saúde,AL,2020-06-07 00:00:00,61
2020-07-17 00:00:00,VYAIRE,Alagoas,ESTADO,UTI,7,420000.0,MACEIÓ - Secretaria Estadual de Saúde ,AL,2020-07-31 00:00:00,14
2020-07-17 00:00:00,KTK,Alagoas,ESTADO,TRANSPORTE,13,260000.0,MACEIÓ - Secretaria Estadual de Saúde ,AL,2020-07-31 00:00:00,14
2020-07-17 00:00:00,VYAIRE,Alagoas,MUNICIPIO,UTI,7,420000.0,ARAPIRACA - Secretaria Municipal de Saúde ,AL,2020-07-31 00:00:00,14
2020-07-17 00:00:00,KTK,Alagoas,MUNICIPIO,TRANSPORTE,8,160000.0,ARAPIRACA - Secretaria Municipal de Saúde ,AL,2020-07-31 00:00:00,14
2020-08-14 00:00:00,MAGNAMED,Alagoas,MUNICIPIO,TRANSPORTE,2,96580.0,SMS DE  SAO JOSE DA TAPERA,AL,2020-08-18 00:00:00,4
2020-08-21 00:00:00,MAGNAMED,Alagoas,MUNICIPIO,TRANSPORTE,1,48290.0,SECR MUN DE SAUDE DE DELMIRO GOUVEIA  AL,AL,2020-08-26 00:00:00,5
2020-12-23 00:00:00,VYAIRE,Alagoas,MUNICIPIO,UTI,1,60000.0,SANTA CASA DE MISERICORDIA DE PENEDO,AL,2020-12-28 00:00:00,5
2021-11-03 00:00:00,LIFEMED,Alagoas,ESTADO,UTI,40,2400000.0,SECRETARIA ESTADUAL DE SAÚDE DE ALAGOAS,AL,2021-12-03 00:00:00,30
2020-11-04 00:00:00,MAGNAMED/REQUISIÇÃO,Amapa,ESTADO,UTI,10,600000.0,Maternidade Zona Norte Dra. Eucléia,AP,2020-11-04 00:00:00,0
2020-04-18 00:00:00,MAGNAMED,Amapa,ESTADO,TRANSPORTE,10,482900.0,Secretaria Estadual de Saúde,AP,2020-04-19 00:00:00,1
2020-04-18 00:00:00,VYAIRE,Amapa,ESTADO,UTI,5,300000.0,Secretaria Estadual de Saúde,AP,2020-04-19 00:00:00,1
2020-04-21 00:00:00,L C DADDE COM AT INST MAT MEDICO EPP,Amapa,ESTADO,UTI,20,2190000.0,Secretaria Estadual de Saúde,AP,2020-04-23 00:00:00,2
2020-01-05 00:00:00,LEISTUNG,Amapa,ESTADO,TRANSPORTE,2,37000.0,Secretaria Estadual de Saúde,AP,2020-02-05 00:00:00,31
2020-01-05 00:00:00,LEISTUNG,Amapa,ESTADO,UTI,14,840000.0,Secretaria Estadual de Saúde,AP,2020-02-05 00:00:00,31
2020-01-05 00:00:00,MAGNAMED,Amapa,ESTADO,TRANSPORTE,4,193160.0,Secretaria Estadual de Saúde,AP,2020-02-05 00:00:00,31
2020-05-24 00:00:00,VYAIRE,Amapa,ESTADO,UTI,30,1800000.0,Secretaria Estadual de Saúde,AP,2020-05-24 00:00:00,0
2020-05-28 00:00:00,VYAIRE,Amapa,ESTADO,UTI,10,600000.0,Secretaria Estadual de Saúde,AP,2020-05-29 00:00:00,1
2021-01-28 00:00:00,VYAIRE,Amapa,ESTADO,UTI,8,480000.0,PMM U B S DR LELIO SILVA,AP,2021-03-02 00:00:00,33
2021-02-18 00:00:00,KTK,Amapa,ESTADO,TRANSPORTE,4,80000.0,Central SAMU,AP,2021-02-23 00:00:00,5
2021-03-13 00:00:00,LIFEMED,Amapa,ESTADO,UTI,36,2160000.0,SES MACAPÁ ,AP,2021-03-16 00:00:00,3
2020-10-04 00:00:00,MAGNAMED/REQUISIÇÃO,Amazonas,ESTADO,UTI,10,600000.0,Hospital Pronto Socorro da Zona Norte Delphina de Abdel de Azzis ,AM,2020-11-04 00:00:00,31
2020-04-18 00:00:00,MAGNAMED,Amazonas,ESTADO,TRANSPORTE,15,724350.0,Secretaria Estadual de Saúde,AM,2020-04-20 00:00:00,2
2020-04-22 00:00:00,SUZANO/Zhongxun Medical,Amazonas,ESTADO,UTI,10,1700816.5,Secretaria Estadual de Saúde,AM,2020-04-23 00:00:00,1
2020-04-22 00:00:00,SUZANO/Resmed,Amazonas,ESTADO,UTI,10,912708.4,Secretaria Estadual de Saúde,AM,2020-04-23 00:00:00,1
2020-04-29 00:00:00,VYAIRE,Amazonas,ESTADO,UTI,25,1500000.0,Secretaria Estadual de Saúde,AM,2020-04-30 00:00:00,1
2020-04-29 00:00:00,MAGNAMED,Amazonas,ESTADO,TRANSPORTE,10,482900.0,Secretaria Estadual de Saúde,AM,2020-04-30 00:00:00,1
2020-05-15 00:00:00,MAGNAMED,Amazonas,MUNICIPIO,TRANSPORTE,10,482900.0,Secretaria Municipal de Saúde (TABATINGA) Obs: Entregues na Foça Aérea Brasileira FAB/SP,AM,2020-05-16 00:00:00,1
2020-05-15 00:00:00,MAGNAMED,Amazonas,MUNICIPIO,TRANSPORTE,8,386320.0,Secretaria Municipal de Saúde (SAO GABRIEL DA CACHOEIRA) Obs: Entregues na Foça Aérea Brasileira FAB/SP,AM,2020-05-16 00:00:00,1
2020-05-16 00:00:00,KTK,Amazonas,MUNICIPIO,UTI,20,1200000.0,Secretaria Municipal de Saúde,AM,2020-06-17 00:00:00,32
2020-05-16 00:00:00,MAGNAMED,Amazonas,MUNICIPIO,TRANSPORTE,10,482900.0,Secretaria Municipal de Saúde,AM,2020-06-17 00:00:00,32
2020-05-20 00:00:00,VYAIRE,Amazonas,ESTADO,UTI,15,900000.0,Secretaria Estadual de Saúde,AM,2020-05-21 00:00:00,1
2020-05-20 00:00:00,MAGNAMED,Amazonas,ESTADO,TRANSPORTE,5,241450.0,Secretaria Estadual de Saúde,AM,2020-05-21 00:00:00,1
2020-05-21 00:00:00,VYAIRE,Amazonas,ESTADO,UTI,14,840000.0,Secretaria Estadual de Saúde,AM,2020-05-23 00:00:00,2
2020-05-21 00:00:00,VYAIRE,Amazonas,ESTADO,UTI,1,60000.0,Secretaria Estadual de Saúde,AM,2020-05-23 00:00:00,2
2020-05-21 00:00:00,MAGNAMED,Amazonas,ESTADO,TRANSPORTE,5,241450.0,Secretaria Estadual de Saúde,AM,2020-05-23 00:00:00,2
2020-10-06 00:00:00,MAGNAMED,Amazonas,ESTADO,TRANSPORTE,16,772640.0,FAB Manaus - Amazonas,AM,2020-12-06 00:00:00,61
2020-08-10 00:00:00,KTK,Amazonas,ESTADO,TRANSPORTE,20,400000.0,12o Batalhao de Suprimento,AM,2020-10-15 00:00:00,66
2020-10-23 00:00:00,MAGNAMED,Amazonas,ESTADO,UTI,30,1800000.0,SES AMAZONAS ,AM,2020-10-25 00:00:00,2
2020-12-23 00:00:00,VYAIRE,Amazonas,ESTADO,UTI,10,600000.0,Fundação de Medicina Tropical Dr Heitor Vieira Dourado,AM,2020-12-24 00:00:00,1
2020-12-23 00:00:00,VYAIRE,Amazonas,ESTADO,UTI,5,300000.0,HOSPITAL E PRONTO SOCORRO DA CRIANCA ZON,AM,2020-12-24 00:00:00,1
2020-12-23 00:00:00,VYAIRE,Amazonas,ESTADO,UTI,5,300000.0,FUNDACAO HOSPITAL ADRIANO JORGE,AM,2020-12-24 00:00:00,1
2020-12-23 00:00:00,VYAIRE,Amazonas,ESTADO,UTI,5,300000.0,HOSPITAL PRONTO SOCORRO 28 DE AGOSTO,AM,2020-12-24 00:00:00,1
2020-12-23 00:00:00,VYAIRE,Amazonas,ESTADO,UTI,10,600000.0,HOSPITAL UNIVERSITARIO FRANCISCA MENDES,AM,2020-12-24 00:00:00,1
2020-12-23 00:00:00,VYAIRE,Amazonas,ESTADO,UTI,5,300000.0,INSTITUTO DE SAUDE DA CRIANCA DO AMAZONA,AM,2020-12-24 00:00:00,1
2020-12-28 00:00:00,VYAIRE,Amazonas,ESTADO,UTI,50,3000000.0,SECRETARIA ESTADUAL DE SAUDE DO AMAZONAS,AM,2020-12-30 00:00:00,2
2021-05-01 00:00:00,VYAIRE,Amazonas,ESTADO,UTI,40,2400000.0,SECRETARIA ESTADUAL DE SAÚDE DO AMAZONAS ,AM,2021-06-01 00:00:00,31
2021-05-01 00:00:00,VYAIRE,Amazonas,ESTADO,UTI,38,2280000.0,SECRETARIA ESTADUAL DE SAÚDE DO AMAZONAS ,AM,2021-06-01 00:00:00,31
2021-01-18 00:00:00,KTK,Amazonas,ESTADO,TRANSPORTE,16,320000.0,SECRETARIA ESTADUAL DE SAÚDE DO AMAZONAS ,AM,2021-01-19 00:00:00,1
2021-01-25 00:00:00,KTK,Amazonas,ESTADO,TRANSPORTE,30,600000.0,SECRETARIA ESTADUAL DE SAÚDE DO AMAZONAS ,AM,2021-01-27 18:00:00,2
2021-01-25 00:00:00,VYAIRE,Amazonas,ESTADO,UTI,40,2400000.0,SECRETARIA ESTADUAL DE SAÚDE DO AMAZONAS ,AM,2021-01-27 18:00:00,2
2021-03-02 00:00:00,VYAIRE,Amazonas,ESTADO,UTI,50,3000000.0,SECRETARIA ESTADUAL DE SAÚDE DO AMAZONAS ,AM,2021-04-02 00:00:00,31
2020-04-06 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,10,482900.0,SALVADOR - Secretaria Municipal de Saúde,BA,2020-06-06 00:00:00,61
2020-04-06 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,10,600000.0,SALVADOR - Secretaria Municipal de Saúde,BA,2020-06-06 00:00:00,61
2020-04-06 00:00:00,VYAIRE,Bahia,ESTADO,UTI,40,2400000.0,Secretaria Estadual de Saúde,BA,2020-05-06 00:00:00,30
2020-07-06 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,20,1200000.0,SALVADOR - Secretaria Municipal de Saúde,BA,2020-09-06 00:00:00,62
2020-07-06 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,10,600000.0,SALVADOR - Secretaria Municipal de Saúde,BA,2020-09-06 00:00:00,62
2020-07-06 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,30,1448700.0,SALVADOR - Secretaria Municipal de Saúde,BA,2020-09-06 00:00:00,62
2020-08-06 00:00:00,WEG,Bahia,MUNICIPIO,UTI,10,600000.0,Barreiras (Hospital do Oeste de Barriras),BA,2020-10-06 00:00:00,61
2020-08-06 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,2,96580.0,Barreiras (Hospital do Oeste de Barriras),BA,2020-10-06 00:00:00,61
2020-08-06 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,1,48290.0,Barreiras (Hospital do Oeste de Barriras),BA,2020-10-06 00:00:00,61
2020-06-16 00:00:00,MAGNAMED,Bahia,ESTADO,TRANSPORTE,27,1303830.0,Secretaria Estadual de Saúde,BA,2020-06-17 00:00:00,1
2020-06-16 00:00:00,VYAIRE,Bahia,ESTADO,UTI,27,1620000.0,Secretaria Estadual de Saúde,BA,2020-06-17 00:00:00,1
2020-06-26 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,10,482900.0,Secretaria Municipal de Saúde  (JACOBINA),BA,2020-06-27 00:00:00,1
2020-06-26 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,10,600000.0,Secretaria Municipal de Saúde  (JACOBINA),BA,2020-06-27 00:00:00,1
2020-07-07 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,5,300000.0,Juazeiro - Pró-Mater,BA,2020-07-13 00:00:00,6
2020-07-07 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,5,241450.0,Juazeiro - Pró-Mater,BA,2020-07-13 00:00:00,6
2020-07-07 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,3,180000.0,Paulo Afonso - Nair Alves,BA,2020-07-14 00:00:00,7
2020-07-07 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,4,193160.0,Paulo Afonso - Nair Alves,BA,2020-07-14 00:00:00,7
2020-07-07 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,5,300000.0,SALVADOR - HOSPITAL DA SAGRADA FAMILIA,BA,2020-07-13 00:00:00,6
2020-07-07 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,5,241450.0,SALVADOR - HOSPITAL DA SAGRADA FAMILIA,BA,2020-07-13 00:00:00,6
2020-07-07 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,10,600000.0,SALVADOR - HOSPITAL DE SALVADOR,BA,2020-07-13 00:00:00,6
2020-07-07 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,10,482900.0,SALVADOR - HOSPITAL DE SALVADOR,BA,2020-07-13 00:00:00,6
2020-07-07 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,10,600000.0,SALVADOR - Pronto ATENDIMENTO,BA,2020-07-13 00:00:00,6
2020-07-07 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,10,482900.0,SALVADOR - Pronto ATENDIMENTO,BA,2020-07-13 00:00:00,6
2020-07-07 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,3,180000.0,Senhor do Bonfim - Hospital de Sr. do Bonfim,BA,2020-07-13 00:00:00,6
2020-07-07 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,4,193160.0,Senhor do Bonfim - Hospital de Sr. do Bonfim,BA,2020-07-13 00:00:00,6
2020-07-17 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,6,360000.0,SALVADOR - Secretaria Municipal de Saúde ,BA,2020-07-24 00:00:00,7
2020-07-17 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,8,386320.0,SALVADOR - Secretaria Municipal de Saúde ,BA,2020-07-24 00:00:00,7
2020-07-17 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,5,241450.0,ITAPETINIGA - Secretaria Municipal de Saúde ,BA,2020-07-24 00:00:00,7
2020-07-31 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,2,40000.0,SMS de Amargosa,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,LEISTUNG,Bahia,MUNICIPIO,UTI,1,60000.0,SMS de Coracao De Maria,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,1,20000.0,SMS de Coracao De Maria,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,LEISTUNG,Bahia,MUNICIPIO,UTI,1,60000.0,SMS de Jandaira,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,1,20000.0,SMS de Jandaira,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,LEISTUNG,Bahia,MUNICIPIO,UTI,6,360000.0,SMS de Miguel Calmon,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,LEISTUNG,Bahia,MUNICIPIO,UTI,2,120000.0,SMS de Monte Santo,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,3,60000.0,SMS de Monte Santo,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,LEISTUNG,Bahia,MUNICIPIO,UTI,2,120000.0,SMS de Muritiba,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,1,20000.0,SMS de Muritiba,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,2,40000.0,SMS de Riacho De Sanatana,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,LEISTUNG,Bahia,MUNICIPIO,UTI,1,60000.0,SMS de Umburanas,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,1,20000.0,SMS de Umburanas,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,LEISTUNG,Bahia,MUNICIPIO,UTI,2,120000.0,SMS de Valenca,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,1,20000.0,SMS de Valenca,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,LEISTUNG,Bahia,MUNICIPIO,UTI,5,300000.0,SMS de Vitoria Da Conquista,BA,2020-08-08 00:00:00,8
2020-07-31 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,5,100000.0,SMS de Vitoria Da Conquista,BA,2020-08-08 00:00:00,8
2020-08-14 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,1,48290.0,SMS de Santa Teresinha,BA,2020-08-18 00:00:00,4
2020-08-14 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,1,60000.0,SMS de Santa Teresinha,BA,2020-08-18 00:00:00,4
2020-08-14 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,1,48290.0,SMS de Serra Dourada,BA,2020-08-18 00:00:00,4
2020-08-14 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,2,120000.0,SMS de Serra Dourada,BA,2020-08-18 00:00:00,4
2020-08-14 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,20,1200000.0,SMS de Juazeiro,BA,2020-08-18 00:00:00,4
2020-08-14 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,10,600000.0,SMS de Senhor Do Bonfim,BA,2020-08-18 00:00:00,4
2020-08-14 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,1,48290.0,SMS de Serra Do Ramalho,BA,2020-08-18 00:00:00,4
2020-08-14 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,2,120000.0,SMS de Serra Do Ramalho,BA,2020-08-18 00:00:00,4
2020-08-14 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,5,241450.0,SMS de Feira De Santana,BA,2020-08-18 00:00:00,4
2020-08-14 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,5,300000.0,SMS de Feira De Santana,BA,2020-08-18 00:00:00,4
2020-08-14 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,2,96580.0,SECRETARIA MUNICIPAL DE SAUDE DE NAZARE,BA,2020-08-18 00:00:00,4
2020-08-14 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,10,600000.0,SMS de Bom Jesus Da Lapa,BA,2020-08-18 00:00:00,4
2020-08-21 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,1,48290.0,SMS de Central,BA,2020-08-25 00:00:00,4
2020-08-21 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,2,120000.0,SMS de Central,BA,2020-08-25 00:00:00,4
2020-08-21 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,1,48290.0,SMS de Canapolis,BA,2020-08-27 00:00:00,6
2020-08-21 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,2,120000.0,SMS de Canapolis,BA,2020-08-27 00:00:00,6
2020-08-21 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,2,120000.0,SMS de Uaua,BA,2020-08-28 00:00:00,7
2020-08-21 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,2,96580.0,SMS de Quixabeira,BA,2020-08-25 00:00:00,4
2020-08-21 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,2,96580.0,SMS de Governador Mangabeira,BA,2020-08-26 00:00:00,5
2020-08-21 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,2,120000.0,SMS de Urandi,BA,2020-08-27 00:00:00,6
2020-08-21 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,2,120000.0,SECR MUN DE SAUDE DE SAO FELIX  BA,BA,2020-08-26 00:00:00,5
2020-08-21 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,2,96580.0,SECRETARIA MUNICIPAL DE SAUDE DE NAZARE,BA,2020-08-26 00:00:00,5
2020-08-21 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,2,96580.0,SMS de Mutuipe,BA,2020-08-26 00:00:00,5
2020-08-21 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,2,120000.0,SMS de Araci,BA,2020-08-25 00:00:00,4
2020-08-21 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,2,96580.0,SMS de Araci,BA,2020-08-25 00:00:00,4
2020-08-21 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,2,96580.0,SMS de Ipecaeta,BA,2020-08-26 00:00:00,5
2020-08-21 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,3,144870.0,SMS de Livramento De Nossa Senhora,BA,2020-08-27 00:00:00,6
2020-08-21 00:00:00,VYAIRE,Bahia,MUNICIPIO,UTI,4,240000.0,SMS de Livramento De Nossa Senhora,BA,2020-08-27 00:00:00,6
2020-08-27 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,2,96580.0,SMS de Maragogipe,BA,2020-08-31 00:00:00,4
2020-08-27 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,2,96580.0,SMS de Santanopolis,BA,2020-08-31 00:00:00,4
2020-08-27 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,2,96580.0,SMS de Candeal,BA,2020-08-31 00:00:00,4
2020-08-27 00:00:00,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,2,96580.0,SMS de Vera Cruz,BA,2020-08-31 00:00:00,4
2020-08-27 00:00:00,MAGNAMED,Bahia,MUNICIPIO,UTI,3,180000.0,SMS de Vera Cruz,BA,2020-08-31 00:00:00,4
2020-09-21 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,1,20000.0,SMS de Baianopolis,BA,2020-09-28 00:00:00,7
2020-09-21 00:00:00,LEISTUNG,Bahia,MUNICIPIO,UTI,1,60000.0,SECRETARIA MUNICIPAL DE SAUDE DE NAZARE,BA,2020-09-28 00:00:00,7
2020-09-21 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,1,20000.0,SMS de Nova Soure,BA,2020-09-28 00:00:00,7
2020-09-21 00:00:00,LEISTUNG,Bahia,MUNICIPIO,UTI,2,120000.0,SMS de Nova Soure,BA,2020-09-28 00:00:00,7
2020-08-10 00:00:00,VYAIRE LTV 2200 USA,Bahia,ESTADO,TRANSPORTE USA,10,631259.7,6o Deposito de Suprimento,BA,2020-10-17 00:00:00,68
2020-08-10 00:00:00,MAGNAMED,Bahia,MUNICIPIO,UTI,3,180000.0,Secretaria Municipal de Saude de Vera Cruz,BA,2020-10-17 00:00:00,68
2020-08-10 00:00:00,MAGNAMED,Bahia,MUNICIPIO,UTI,2,120000.0,Secretaria Municipal de Saude de Vera Cruz,BA,2020-10-17 00:00:00,68
2020-11-20 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,3,60000.0,SMS de Vitoria Da Conquista,BA,2020-11-23 00:00:00,3
2020-11-20 00:00:00,MAGNAMED,Bahia,MUNICIPIO,UTI,2,120000.0,SMS de Feira De Santana,BA,2020-11-23 00:00:00,3
2020-07-12 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,1,20000.0,SMS de Sao Felix Do Coribe,BA,2020-09-12 00:00:00,62
2020-07-12 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,2,40000.0,SMS de Coracao De Maria,BA,2020-09-12 00:00:00,62
2020-07-12 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,2,40000.0,SMS de Sento Se,BA,2020-09-12 00:00:00,62
2020-07-12 00:00:00,KTK,Bahia,MUNICIPIO,TRANSPORTE,2,40000.0,SMS de Sento Se,BA,2020-09-12 00:00:00,62
2020-07-12 00:00:00,LEISTUNG,Bahia,MUNICIPIO,UTI,1,60000.0,SMS de Caetite,BA,2020-09-12 00:00:00,62
2020-07-12 00:00:00,LEISTUNG,Bahia,MUNICIPIO,UTI,1,60000.0,SMS de Sao Felix Do Coribe,BA,2020-09-12 00:00:00,62
2020-07-12 00:00:00,LEISTUNG,Bahia,MUNICIPIO,UTI,2,120000.0,SMS de Sitio Do Mato,BA,2020-09-12 00:00:00,62
