DATA,FORNECEDOR,DESTINO,ESTADO/MUNICIPIO,TIPO,QUANTIDADE,valor_(r$),DESTINATARIO,UF,DATA DE ENTREGA
2020-06-04,VYAIRE,Bahia,MUNICIPIO,UTI,10,6.0E7,SALVADOR - SECRETARIA MUNICIPAL DE SAÚDE,BA,2020-06-06T00:00:00.000-03:00
2020-04-18,MAGNAMED,Ceara,ESTADO,TRANSPORTE,15,7.2435E7,HOSPITAL DR. CARLOS ALBERTO STUDART GOMES,CE,2020-04-18T00:00:00.000-03:00
2020-06-08,WEG,Ceara,MUNICIPIO,UTI,5,3.0E7,SECRETARIA MUNICIPAL DE SAÚDE (ITAPIPOCA),CE,2020-06-10T00:00:00.000-03:00
2020-06-12,VYAIRE,Goias,MUNICIPIO,UTI,3,1.8E7,SECRETARIA MUNICIPAL DE SAÚDE (SENADOR CANEDO),GO,2020-06-15T00:00:00.000-03:00
2020-10-26,VYAIRE LTV 2200 USA,Goias,MUNICIPIO,TRANSPORTE USA,1,6312597.0,SMS DE HIDROLINA,GO,2020-10-29T00:00:00.000-02:00
2020-05-16,LEISTUNG,Maranhão,ESTADO,UTI,20,1.2E8,SECRETARIA ESTADUAL DE SAÚDE,MA,2020-05-18T00:00:00.000-03:00
2020-06-26,VYAIRE,Minas Gerais,MUNICIPIO,UTI,4,2.4E7,SECRETARIA MUNICIPAL DE SAÚDE - UBÁ,MG,2020-06-29T00:00:00.000-03:00
2020-11-20,VYAIRE LTV 2200 USA,Minas Gerais,MUNICIPIO,TRANSPORTE USA,3,1.8937792E7,SMS DE PASSOS,MG,2020-11-23T00:00:00.000-02:00
2020-06-09,MAGNAMED,Mato Grosso Do Sul,ESTADO,TRANSPORTE,25,1.20725E8,SECRETARIA ESTADUAL DE SAÚDE,MS,2020-06-12T00:00:00.000-03:00
2020-06-26,MAGNAMED,Parana,MUNICIPIO,TRANSPORTE,2,9658000.0,SECRETARIA MUNICIPAL DE SAÚDE (AROPATI),PR,2020-06-28T00:00:00.000-03:00
2020-12-18,VYAIRE,Rio De Janeiro,MUNICIPIO,UTI,10,6.0E7,HOSPITAL GERAL DE GUARUS,RJ,2020-12-21T00:00:00.000-02:00
2020-10-26,VYAIRE LTV 2200 USA,Rio Grande Do Sul,MUNICIPIO,TRANSPORTE USA,1,6312597.0,SMS DE MATA RS,RS,2020-10-30T00:00:00.000-02:00
2021-02-10,VYAIRE,São Paulo,MUNICIPIO,UTI,10,6.0E7,SMS DE BAURU,SP,2021-02-12T00:00:00.000-02:00
2020-08-27,MAGNAMED,Bahia,MUNICIPIO,TRANSPORTE,2,9658000.0,SMS DE MARAGOGIPE,BA,2020-08-31T00:00:00.000-03:00
2020-08-09,MAGNAMED,Minas Gerais,MUNICIPIO,TRANSPORTE,2,9658000.0,SMS DE ASTOLFO DUTRA,MG,2020-08-14T00:00:00.000-03:00
2021-01-15,VYAIRE,Minas Gerais,MUNICIPIO,UTI,2,1.2E7,HOSPITAL SANTA CASA DE BOM DESPACHO,MG,2021-01-21T00:00:00.000-02:00
2020-06-26,MAGNAMED,Paraiba,MUNICIPIO,TRANSPORTE,3,1.4487E7,SECRETARIA MUNICIPAL DE SAÚDE (PATOS),PB,2020-07-01T00:00:00.000-03:00
2020-07-17,VYAIRE,Pernambuco,MUNICIPIO,UTI,5,3.0E7,PETROLINA - SECRETARIA MUNICIPAL DE SAÚDE,PE,2020-07-31T00:00:00.000-03:00
2020-09-11,KTK,Parana,MUNICIPIO,UTI,1,6000000.0,SMS DE ÂNGULO,PR,2020-09-15T00:00:00.000-03:00
2020-09-21,LEISTUNG,Parana,MUNICIPIO,UTI,1,6000000.0,SMS DE IBIPORA,PR,2020-09-27T00:00:00.000-03:00
2020-09-24,VYAIRE LTV 2200 USA,Rio De Janeiro,MUNICIPIO,TRANSPORTE USA,5,3.1562984E7,SMS DE AREAL,RJ,2020-09-29T00:00:00.000-03:00
2020-11-26,VYAIRE,Rio De Janeiro,ESTADO,UTI,4,2.4E7,HOSPITAL FEDERAL DE IPANEMA,RJ,2020-11-30T15:29:00.000-02:00
2020-11-26,VYAIRE,Rio De Janeiro,ESTADO,UTI,8,4.8E7,HOSPITAL FEDERAL DA LAGOA,RJ,2020-11-30T15:24:00.000-02:00
2020-06-26,VYAIRE,Rondonia,MUNICIPIO,UTI,2,1.2E7,SECRETARIA MUNICIPAL DE SAÚDE (BURITIS),RO,2020-07-02T00:00:00.000-03:00
2020-06-26,MAGNAMED,Rondonia,MUNICIPIO,TRANSPORTE,3,1.4487E7,SECRETARIA MUNICIPAL DE SAÚDE (VILHENA),RO,2020-06-30T00:00:00.000-03:00
2020-07-07,VYAIRE,Rio Grande Do Sul,MUNICIPIO,UTI,5,3.0E7,CANOAS - HPS CANOAS,RS,2020-07-11T00:00:00.000-03:00
2020-11-20,MAGNAMED,Rio Grande Do Sul,MUNICIPIO,UTI,8,4.8E7,SMS DE SANTA ROSA RS,RS,2020-11-25T00:00:00.000-02:00
2021-03-11,KTK,Santa Catarina,MUNICIPIO,TRANSPORTE,2,4000000.0,SECR. MUN. DE SAÚDE DE SAO BONIFACIO,SC,2021-03-13T00:00:00.000-03:00
2020-07-24,KTK,São Paulo,MUNICIPIO,TRANSPORTE,5,1.0E7,ITAQUAQUECETUBA - SECRETARIA MUNICIPAL DE SAÚDE,SP,2020-07-31T00:00:00.000-03:00
2021-03-11,LIFEMED,Alagoas,ESTADO,UTI,40,2.4E8,SECRETARIA ESTADUAL DE SAÚDE DE ALAGOAS,AL,2021-03-12T00:00:00.000-03:00
2020-06-12,VYAIRE,Bahia,MUNICIPIO,UTI,4,2.4E7,SECRETARIA MUNICIPAL DE SAÚDE (FEIRA DE SANTANA),BA,2020-06-14T00:00:00.000-03:00
2020-07-24,KTK,Bahia,MUNICIPIO,TRANSPORTE,3,6000000.0,ANDARAI - SECRETARIA MUNICIPAL DE SAÚDE,BA,2020-08-07T00:00:00.000-03:00
2020-10-08,VYAIRE LTV 2200 USA,Minas Gerais,MUNICIPIO,TRANSPORTE USA,3,1.8937792E7,SMS DE CORACAO DE JESUS,MG,2020-10-16T00:00:00.000-03:00
2021-04-02,RUSSER BRASIL,Mato Grosso,MUNICIPIO,UTI,5,3.0E7,SMS DE TANGARÁ DA SERRA,MT,2021-04-08T00:00:00.000-03:00
2020-07-31,KTK,Para,MUNICIPIO,TRANSPORTE,3,6000000.0,SMS DE BRAGANCA,PA,2020-08-10T00:00:00.000-03:00
2021-03-29,LIFEMED,Para,MUNICIPIO,UTI,2,1.2E7,SMS DE DOM ELISEU,PA,2021-04-01T00:00:00.000-03:00
2021-02-26,VYAIRE,Paraiba,MUNICIPIO,UTI,5,3.0E7,SMS DE SANTA RITA,PB,2021-02-26T00:00:00.000-03:00
2020-09-03,MAGNAMED,Rio De Janeiro,MUNICIPIO,UTI,3,1.8E7,SMS DE NATIVIDADE,RJ,2020-09-06T00:00:00.000-03:00
2020-12-23,VYAIRE LTV 2200 USA,Rio Grande Do Sul,MUNICIPIO,TRANSPORTE USA,2,1.2625194E7,HOSPITAL DE CARIDADE BOA VISTA,RS,2020-12-30T00:00:00.000-02:00
2021-02-26,KTK,Rio Grande Do Sul,MUNICIPIO,TRANSPORTE,5,1.0E7,UCPEL HOSPITAL UNIVERSITARIO SAO FRANCISCO DE PAULA,RS,2021-02-26T00:00:00.000-03:00
2020-05-28,MAGNAMED,Sergipe,ESTADO,TRANSPORTE,20,9.658E7,SECRETARIA ESTADUAL DE SAÚDE,SE,2020-05-29T00:00:00.000-03:00
2020-07-17,MAGNAMED,São Paulo,MUNICIPIO,TRANSPORTE,5,2.4145E7,BAURU - SECRETARIA MUNICIPAL DE SAÚDE,SP,2020-07-22T00:00:00.000-03:00
2020-07-17,MAGNAMED,São Paulo,MUNICIPIO,TRANSPORTE,1,4829000.0,BIRIGUI - SECRETARIA MUNICIPAL DE SAÚDE,SP,2020-07-22T00:00:00.000-03:00
2020-05-01,LEISTUNG,Ceara,ESTADO,UTI,20,1.2E8,SECRETARIA  ESTADUAL DE SAÚDE,CE,2020-05-02T00:00:00.000-03:00
2020-08-09,MAGNAMED,Ceara,MUNICIPIO,TRANSPORTE,1,4829000.0,SECRETARIA MUNICIPAL DE SAUDE DE  PACAJU,CE,2020-08-10T00:00:00.000-03:00
2020-06-26,MAGNAMED,Distrito Federal,ESTADO,TRANSPORTE,40,1.9316E8,SECRETARIA ESTADUAL DE SAÚDE,DF,2020-06-27T00:00:00.000-03:00
2020-08-09,MAGNAMED,Goias,MUNICIPIO,TRANSPORTE,4,1.9316E7,SMS DE CABECEIRAS,GO,2020-08-14T00:00:00.000-03:00
2021-03-04,KTK,Goias,MUNICIPIO,TRANSPORTE,3,6000000.0,SMS DE CRISTALINA,GO,2021-03-07T00:00:00.000-03:00
2021-03-04,KTK,Goias,MUNICIPIO,TRANSPORTE,2,4000000.0,SMS DE MUNDO NOVO,GO,2021-03-07T00:00:00.000-03:00
2020-07-07,MAGNAMED,Maranhão,MUNICIPIO,TRANSPORTE,5,2.4145E7,SANTA INÊS - HOSPITAL REGIONAL TOMÁS MARTINS,MA,2020-07-19T00:00:00.000-03:00
2021-03-24,INSPIRAR,Maranhão,MUNICIPIO,UTI,2,1.2E7,CENTRO DE SAUDE SANTO ANTONIO,MA,2021-03-30T00:00:00.000-03:00
2020-08-09,VYAIRE,Parana,MUNICIPIO,UTI,2,1.2E7,SMS DE MARINGA,PR,2020-08-13T00:00:00.000-03:00
2020-05-17,LEISTUNG,Rio De Janeiro,MUNICIPIO,UTI,5,3.0E7,SECRETARIA MUNICIPAL DE SAUDE - RIO DE JANEIRO,RJ,2020-05-18T00:00:00.000-03:00
2020-07-31,LEISTUNG,Sergipe,MUNICIPIO,UTI,2,1.2E7,SMS DE CAPELA,SE,2020-08-07T00:00:00.000-03:00
2020-04-18,VYAIRE,Amapa,ESTADO,UTI,5,3.0E7,SECRETARIA ESTADUAL DE SAÚDE,AP,2020-04-19T00:00:00.000-03:00
2020-10-29,MAGNAMED,Amazonas,ESTADO,UTI,30,1.8E8,SES AMAZONAS,AM,2020-11-04T00:00:00.000-02:00
2020-07-31,LEISTUNG,Bahia,MUNICIPIO,UTI,5,3.0E7,SMS DE VITORIA DA CONQUISTA,BA,2020-08-08T00:00:00.000-03:00
2021-04-16,LIFEMED,Bahia,MUNICIPIO,UTI,2,1.2E7,HOSPITAL DE CASTRO ALVES,BA,2021-04-20T00:00:00.000-03:00
2020-10-08,MAGNAMED,Ceara,MUNICIPIO,UTI,2,1.2E7,SECRETARIA MUNICIPAL DE SAUDE DE SOLONOPOLE,CE,2020-10-15T00:00:00.000-03:00
2020-07-10,MAGNAMED,Minas Gerais,ESTADO,TRANSPORTE,49,2.36620992E8,SECRETARIA ESTADUAL DE SAÚDE,MG,2020-07-15T00:00:00.000-03:00
2020-08-21,VYAIRE,Minas Gerais,MUNICIPIO,UTI,2,1.2E7,SMS DE SANTA RITA DO SAPUCAI,MG,2020-08-25T00:00:00.000-03:00
2021-01-15,KTK,Minas Gerais,MUNICIPIO,TRANSPORTE,3,6000000.0,HOSPITAL DA FUNDACAO CASA DE CARIDADE DE SAO LOURENCO,MG,2021-01-21T00:00:00.000-02:00
2021-02-10,VYAIRE,Minas Gerais,MUNICIPIO,UTI,1,6000000.0,HOSPITAL NOSSA SENHORA DAS MERCES,MG,2021-02-12T00:00:00.000-02:00
2021-03-29,LIFEMED,Para,ESTADO,UTI,50,3.0E8,SES DO PARA,PA,2021-04-05T00:00:00.000-03:00
2021-04-16,LIFEMED,Parana,MUNICIPIO,UTI,2,1.2E7,SMS DE SÃO JOÃO DO TRIUNFO,PR,2021-04-20T00:00:00.000-03:00
2021-01-22,VYAIRE LTV 2200 USA,Rio De Janeiro,MUNICIPIO,TRANSPORTE USA,2,1.2625194E7,UPA 24 HS TRES RIOS,RJ,2021-01-25T00:00:00.000-02:00
2020-07-07,MAGNAMED,Rio Grande Do Norte,MUNICIPIO,TRANSPORTE,2,9658000.0,TANGARÁ - HOSPITAL MUNICIPAL DE TANGARÁ,RN,2020-07-14T00:00:00.000-03:00
2020-06-26,VYAIRE,Rondonia,MUNICIPIO,UTI,5,3.0E7,SECRETARIA MUNICIPAL DE SAÚDE (CACOAL),RO,2020-07-01T00:00:00.000-03:00
2020-07-07,MAGNAMED,Rio Grande Do Sul,MUNICIPIO,TRANSPORTE,3,1.4487E7,SÃO LUIZ GONZAGA - HOPSITAL SÃO LUIZ GONZAGA,RS,2020-07-12T00:00:00.000-03:00
2020-12-08,KTK,Santa Catarina,MUNICIPIO,TRANSPORTE,1,2000000.0,SECR MUN DE SAUDE DE APIUNA  SC,SC,2020-12-10T00:00:00.000-02:00
2020-07-24,VYAIRE,São Paulo,MUNICIPIO,UTI,1,6000000.0,APIAI - SECRETARIA MUNICIPAL DE SAÚDE,SP,2020-07-31T00:00:00.000-03:00
2020-08-09,MAGNAMED,Ceara,MUNICIPIO,TRANSPORTE,1,4829000.0,SECRETARIA MUNICIPAL DE SAUDE DE SAO BEN,CE,2020-08-10T00:00:00.000-03:00
2020-05-16,LEISTUNG,Goias,ESTADO,UTI,25,1.5E8,SECRETARIA ESTADUAL DE SAÚDE,GO,2020-05-18T00:00:00.000-03:00
2020-08-21,VYAIRE,Goias,MUNICIPIO,UTI,1,6000000.0,SECRETARIA MUNICIPAL DE SAUDE DE  ANAPOLIS,GO,2020-08-24T00:00:00.000-03:00
2020-07-07,VYAIRE,Minas Gerais,MUNICIPIO,UTI,5,3.0E7,PATOS DE MINAS - HOSPITAL REGIONAL ATÔNIO DIAS,MG,2020-07-10T00:00:00.000-03:00
2021-04-16,LIFEMED,Pernambuco,MUNICIPIO,UTI,2,1.2E7,HOSPITAL DE CAMPANHA DE POMBOS,PE,2021-04-19T00:00:00.000-03:00
2020-07-17,MAGNAMED,Parana,MUNICIPIO,TRANSPORTE,1,4829000.0,BANDEIRANTES - SECRETARIA MUNICIPAL DE SAÚDE,PR,2020-07-22T00:00:00.000-03:00
2020-08-14,MAGNAMED,Rio De Janeiro,MUNICIPIO,TRANSPORTE,3,1.4487E7,SMS DE SAO FIDELIS,RJ,2020-08-17T00:00:00.000-03:00
2020-08-21,MAGNAMED,Rio De Janeiro,MUNICIPIO,TRANSPORTE,2,9658000.0,SMS DE APERIBE,RJ,2020-08-24T00:00:00.000-03:00
2021-01-22,VYAIRE LTV 2200 USA,Rio De Janeiro,MUNICIPIO,TRANSPORTE USA,2,1.2625194E7,CENTRO DE ATENDIMENTO AO COVID 19 DE ITA,RJ,2021-01-25T00:00:00.000-02:00
2020-06-26,MAGNAMED,Rio Grande Do Sul,MUNICIPIO,TRANSPORTE,1,4829000.0,SECRETARIA MUNICIPAL DE SAÚDE (VACARIA),RS,2020-06-29T00:00:00.000-03:00
2020-08-21,MAGNAMED,Rio Grande Do Sul,MUNICIPIO,TRANSPORTE,4,1.9316E7,SMS DE RIO GRANDE,RS,2020-08-25T00:00:00.000-03:00
2020-10-26,KTK,Tocantins,MUNICIPIO,TRANSPORTE,2,4000000.0,SMS DE TAGUATINGA,TO,2020-10-29T00:00:00.000-02:00
2020-07-24,VYAIRE,Bahia,MUNICIPIO,UTI,2,1.2E7,QUIJINGUE - SECRETARIA MUNICIPAL DE SAÚDE,BA,2020-08-07T00:00:00.000-03:00
2020-07-24,VYAIRE,Bahia,ESTADO,UTI,5,3.0E7,SALVADOR - SECRETARIA ESTADUAL DE SAÚDE,BA,2020-08-07T00:00:00.000-03:00
2020-07-10,MAGNAMED,Ceara,MUNICIPIO,TRANSPORTE,1,4829000.0,QUIXELO - SECRETARIA  MUNICIPAL DE SAÚDE,CE,2020-07-16T00:00:00.000-03:00
2020-06-26,MAGNAMED,Espirito Santo,MUNICIPIO,TRANSPORTE,5,2.4145E7,SECRETARIA MUNICIPAL DE SAÚDE (CACHOEIRO DO ITAPEMIRIM),ES,2020-06-30T00:00:00.000-03:00
2020-06-26,VYAIRE,Goias,MUNICIPIO,UTI,5,3.0E7,SECRETARIA MUNICIPAL DE SAÚDE (SANTA HELENA DE GOIÁS),GO,2020-06-29T00:00:00.000-03:00
2021-04-19,HORTRON,Goias,MUNICIPIO,UTI,2,1.2E7,SMS DE FORMOSO,GO,2021-04-22T00:00:00.000-03:00
2020-09-03,MAGNAMED,Mato Grosso,MUNICIPIO,TRANSPORTE,1,4829000.0,SMS DE CAMPO VERDE,MT,2020-09-11T00:00:00.000-03:00
2021-03-02,KTK,Paraiba,MUNICIPIO,TRANSPORTE,5,1.0E7,SMS DE CONDE,PB,2021-03-04T00:00:00.000-03:00
2020-08-09,MAGNAMED,Piaui,MUNICIPIO,TRANSPORTE,2,9658000.0,SECR MUN DE SAUDE DE RIBEIRO GONCALVES,PI,2020-08-14T00:00:00.000-03:00
2020-06-06,KTK,Rondonia,MUNICIPIO,TRANSPORTE,2,4000000.0,SECRETARIA MUNICIPAL DE SAÚDE (JI PARANA),RO,2020-06-09T00:00:00.000-03:00
2020-07-10,MAGNAMED,Rondonia,MUNICIPIO,TRANSPORTE,3,1.4487E7,ROLIM DE MOURA - SECRETARIA MUNICIPAL DE SAÚDE,RO,2020-07-17T00:00:00.000-03:00
2020-06-26,MAGNAMED,Rio Grande Do Sul,MUNICIPIO,UTI,1,6000000.0,SECRETARIA MUNICIPAL DE SAÚDE (BAGÉ),RS,2020-07-01T00:00:00.000-03:00
2020-08-09,VYAIRE,Rio Grande Do Sul,MUNICIPIO,UTI,1,6000000.0,SECR MUN DE SAUDE DE SAO FRANCISCO DE PA,RS,2020-08-15T00:00:00.000-03:00
2020-10-26,MAGNAMED,Rio Grande Do Sul,MUNICIPIO,UTI,1,6000000.0,SECR MUN DE SAUDE DE MUCUM RS,RS,2020-10-29T00:00:00.000-02:00
2021-02-26,KTK,Santa Catarina,MUNICIPIO,TRANSPORTE,50,1.0E8,SES SANTA CATARINA,SC,2021-03-06T00:00:00.000-03:00
2020-08-14,MAGNAMED,Alagoas,MUNICIPIO,TRANSPORTE,2,9658000.0,SMS DE  SAO JOSE DA TAPERA,AL,2020-08-18T00:00:00.000-03:00
2021-01-25,KTK,Amazonas,ESTADO,TRANSPORTE,30,6.0E7,SECRETARIA ESTADUAL DE SAÚDE DO AMAZONAS,AM,2021-01-27T18:00:00.000-02:00
2021-02-05,VYAIRE,Bahia,MUNICIPIO,UTI,1,6000000.0,HOSPITAL MUNICIPAL EDIVAL CARLOS BARRETTO,BA,2021-02-08T00:00:00.000-02:00
2021-04-16,LIFEMED,Bahia,MUNICIPIO,UTI,1,6000000.0,HOSPITAL MUNICIPAL DE IRAMAIA,BA,2021-04-20T00:00:00.000-03:00
2020-08-09,LEISTUNG,Espirito Santo,MUNICIPIO,UTI,3,1.8E7,ALMOX SMS SERRA,ES,2020-08-14T00:00:00.000-03:00
2020-06-26,VYAIRE,Goias,MUNICIPIO,UTI,3,1.8E7,SECRETARIA MUNICIPAL DE SAÚDE (SÃO LUIS DE MONTES BELOS),GO,2020-06-29T00:00:00.000-03:00
2020-08-14,VYAIRE,Maranhão,MUNICIPIO,UTI,1,6000000.0,SECR MUN DE SAUDE DE TRIZIDELA DO VALE,MA,2020-08-18T00:00:00.000-03:00
2020-08-14,MAGNAMED,Minas Gerais,MUNICIPIO,TRANSPORTE,10,4.829E7,SMS DE VESPASIANO,MG,2020-08-21T00:00:00.000-03:00
2021-04-08,LIFEMED,Mato Grosso,MUNICIPIO,UTI,1,6000000.0,CENTRO DE SAÚDE DE UNIÃO DO SUL,MT,2021-04-13T00:00:00.000-03:00
2020-06-16,VYAIRE,Piaui,ESTADO,UTI,10,6.0E7,SECRETARIA ESTADUAL DE SAÚDE,PI,2020-06-19T00:00:00.000-03:00
2021-04-02,RUSSER BRASIL,Piaui,ESTADO,UTI,15,9.0E7,SMS DE TERESINA,PI,2021-04-08T00:00:00.000-03:00
2020-06-26,MAGNAMED,Rio De Janeiro,MUNICIPIO,TRANSPORTE,8,3.8632E7,SECRETARIA MUNICIPAL DE SAÚDE (SÃO JOÃO DO MERETI),RJ,2020-07-02T00:00:00.000-03:00
2020-08-14,VYAIRE,Rio Grande Do Sul,MUNICIPIO,UTI,2,1.2E7,SECR MUN DE SAUDE DE SANTO ANTONIO DA PA,RS,2020-08-20T00:00:00.000-03:00
2020-10-26,MAGNAMED,Rio Grande Do Sul,MUNICIPIO,UTI,3,1.8E7,SECR MUN DE SAUDE DE ACEGUA RS,RS,2020-11-03T00:00:00.000-02:00
2021-03-13,KTK,Rio Grande Do Sul,MUNICIPIO,TRANSPORTE,4,8000000.0,SECR. MUN. DE SAÚDE DE NOVA PRATA,RS,2021-03-16T00:00:00.000-03:00
2020-06-16,WEG,Santa Catarina,ESTADO,UTI,10,6.0E7,SECRETARIA ESTADUAL DE SAÚDE,SC,2020-06-22T00:00:00.000-03:00
2020-11-20,MAGNAMED,Santa Catarina,MUNICIPIO,UTI,2,1.2E7,SMS DE JOINVILLE  SC,SC,2020-11-27T00:00:00.000-02:00
2020-06-09,MAGNAMED,São Paulo,MUNICIPIO,TRANSPORTE,1,4829000.0,SECRETARIA MUNICIPAL DE SAÚDE (GUARULHOS),SP,2020-06-17T00:00:00.000-03:00
2020-07-31,KTK,São Paulo,MUNICIPIO,TRANSPORTE,1,2000000.0,SECR MUN DE SAUDE DE IPORANGA  SP,SP,2020-08-03T00:00:00.000-03:00
2020-07-07,MAGNAMED,Tocantins,MUNICIPIO,TRANSPORTE,2,9658000.0,ARAGUAÇU - HOSPITAL ARAGUAÇU,TO,2020-07-13T00:00:00.000-03:00
2020-07-17,KTK,Espirito Santo,MUNICIPIO,TRANSPORTE,3,6000000.0,SERRA - SECRETARIA MUNICIPAL DE SAÚDE,ES,2020-07-22T00:00:00.000-03:00
2020-07-17,VYAIRE,Goias,MUNICIPIO,UTI,4,2.4E7,LUZIANIA -  SECRETARIA MUNICIPAL DE SAÚDE,GO,2020-07-24T00:00:00.000-03:00
2020-08-14,MAGNAMED,Goias,MUNICIPIO,TRANSPORTE,2,9658000.0,SMS DE PADRE BERNARDO,GO,2020-08-20T00:00:00.000-03:00
2020-08-27,MAGNAMED,Goias,MUNICIPIO,TRANSPORTE,3,1.4487E7,SMS DE RUBIATABA,GO,2020-09-02T00:00:00.000-03:00
2021-03-03,KTK,Minas Gerais,MUNICIPIO,TRANSPORTE,2,4000000.0,SMS DE NOVA PONTE,MG,2021-03-05T00:00:00.000-03:00
2020-08-09,MAGNAMED,Mato Grosso Do Sul,MUNICIPIO,TRANSPORTE,2,9658000.0,SMS DE ITAPORA,MS,2020-08-14T00:00:00.000-03:00
2021-03-13,HORTRON,Paraiba,ESTADO,UTI,10,6.0E7,SECRETARIA ESTADUAL DE SAUDE DA PARAÍBA,PB,2021-03-15T00:00:00.000-03:00
